GEOID,NAME,variable,estimate,moe
13159,"Jasper County, Georgia",B01003_001,13916,NA
13161,"Jeff Davis County, Georgia",B01003_001,15036,NA
13163,"Jefferson County, Georgia",B01003_001,15618,NA
13165,"Jenkins County, Georgia",B01003_001,8793,NA
13167,"Johnson County, Georgia",B01003_001,9691,NA
13169,"Jones County, Georgia",B01003_001,28579,NA
13171,"Lamar County, Georgia",B01003_001,18672,NA
13173,"Lanier County, Georgia",B01003_001,10380,NA
13175,"Laurens County, Georgia",B01003_001,47405,NA
13177,"Lee County, Georgia",B01003_001,29502,NA
13179,"Liberty County, Georgia",B01003_001,61349,NA
13181,"Lincoln County, Georgia",B01003_001,7856,NA
13183,"Long County, Georgia",B01003_001,18692,NA
13185,"Lowndes County, Georgia",B01003_001,115364,NA
13187,"Lumpkin County, Georgia",B01003_001,32402,NA
13189,"McDuffie County, Georgia",B01003_001,21455,NA
13191,"McIntosh County, Georgia",B01003_001,14174,NA
13193,"Macon County, Georgia",B01003_001,13305,NA
13195,"Madison County, Georgia",B01003_001,29218,NA
13197,"Marion County, Georgia",B01003_001,8432,NA
13199,"Meriwether County, Georgia",B01003_001,21106,NA
13201,"Miller County, Georgia",B01003_001,5787,NA
13205,"Mitchell County, Georgia",B01003_001,22244,NA
13207,"Monroe County, Georgia",B01003_001,27171,NA
13209,"Montgomery County, Georgia",B01003_001,9058,NA
13211,"Morgan County, Georgia",B01003_001,18507,NA
13213,"Murray County, Georgia",B01003_001,39724,NA
13215,"Muscogee County, Georgia",B01003_001,195739,NA
13217,"Newton County, Georgia",B01003_001,108079,NA
13219,"Oconee County, Georgia",B01003_001,38132,NA
13221,"Oglethorpe County, Georgia",B01003_001,14931,NA
13223,"Paulding County, Georgia",B01003_001,159825,NA
13225,"Peach County, Georgia",B01003_001,27145,NA
13227,"Pickens County, Georgia",B01003_001,31387,NA
13229,"Pierce County, Georgia",B01003_001,19250,NA
13231,"Pike County, Georgia",B01003_001,18327,NA
13233,"Polk County, Georgia",B01003_001,41908,NA
13235,"Pulaski County, Georgia",B01003_001,11216,NA
13237,"Putnam County, Georgia",B01003_001,21691,NA
13239,"Quitman County, Georgia",B01003_001,2289,180
13241,"Rabun County, Georgia",B01003_001,16645,NA
13243,"Randolph County, Georgia",B01003_001,6973,NA
13245,"Richmond County, Georgia",B01003_001,201852,NA
13247,"Rockdale County, Georgia",B01003_001,89717,NA
13249,"Schley County, Georgia",B01003_001,5221,NA
13251,"Screven County, Georgia",B01003_001,13989,NA
13253,"Seminole County, Georgia",B01003_001,8321,NA
13255,"Spalding County, Georgia",B01003_001,65306,NA
13257,"Stephens County, Georgia",B01003_001,25750,NA
